Designator,Component Type,Footprint,Center-X(mm),Center-Y(mm),Rotation,Layer
R20_amplifier.SchDoc3,RES-0603-10K,ECE-RESC1608-0603SM,79.375,7.912,270,Top
R20_amplifier.SchDoc4,RES-0603-10K,ECE-RESC1608-0603SM,108.204,7.912,270,Top
U1,DFN10-LT3042,DFN10,-18.288,13.881,270,Top
U1_amplifier.SchDoc1,S8N-LT1167,S8_N,3.429,12.992,270,Top
U1_amplifier.SchDoc2,S8N-LT1167,S8_N,32.512,12.992,270,Top
U1_amplifier.SchDoc3,S8N-LT1167,S8_N,61.468,12.992,270,Top
U1_amplifier.SchDoc4,S8N-LT1167,S8_N,90.297,12.992,270,Top
U2_amplifier.SchDoc1,S8N-LT1167,S8_N,17.399,12.992,270,Top
U2_amplifier.SchDoc2,S8N-LT1167,S8_N,46.482,12.992,270,Top
U2_amplifier.SchDoc3,S8N-LT1167,S8_N,75.438,12.992,270,Top
U2_amplifier.SchDoc4,S8N-LT1167,S8_N,104.267,12.992,270,Top
U3,S8N-REF5025,S8_N,-11.811,1.054,270,Top
U4_amplifier.SchDoc1,S8N-LT1678,S8_N,11.43,1.181,180,Top
U4_amplifier.SchDoc2,S8N-LT1678,S8_N,40.513,1.181,180,Top
U4_amplifier.SchDoc3,S8N-LT1678,S8_N,69.469,1.181,180,Top
U4_amplifier.SchDoc4,S8N-LT1678,S8_N,98.298,1.181,180,Top
