second,Input,Output
0.00918,2.23750019,2
0.0092,2.23750019,2.03125
0.00922,2.17500019,2.0625
0.00924,2.05000019,2.0625
0.00926,1.98750019,2.09375
0.00928,1.98750019,2.09375
0.0093,1.80000019,2.0625
0.00932,1.86250019,2.09375
0.00934,1.73750019,2.125
0.00936,1.67500019,2.09375
0.00938,1.67500019,2.125
0.0094,1.61250019,2.125
0.00942,1.61250019,2.125
0.00944,1.61250019,2.15625
0.00946,1.48750019,2.125
0.00948,1.55000019,2.15625
0.0095,1.61250019,2.1875
0.00952,1.48750019,2.125
0.00954,1.48750019,2.15625
0.00956,1.55000019,2.125
0.00958,1.61250019,2.15625
0.0096,1.55000019,2.125
0.00962,1.61250019,2.125
0.00964,1.61250019,2.125
0.00966,1.61250019,2.09375
0.00968,1.67500019,2.09375
0.0097,1.73750019,2.0625
0.00972,1.80000019,2.09375
0.00974,1.80000019,2.03125
0.00976,1.86250019,2.03125
0.00978,1.98750019,2.03125
0.0098,1.92500019,2
0.00982,2.05000019,2.03125
0.00984,2.11250019,1.96875
0.00986,2.11250019,1.96875
0.00988,2.30000019,2
0.0099,2.36250019,1.9375
0.00992,2.42500019,1.9375
0.00994,2.55000019,1.875
0.00996,2.61250019,1.84375
0.00998,2.67500019,1.875
0.01,2.80000019,1.84375
0.01002,2.92500019,1.8125
0.01004,3.05000019,1.78125
0.01006,3.11250019,1.78125
0.01008,3.23750019,1.75
0.0101,3.36250019,1.71875
0.01012,3.48750019,1.71875
0.01014,3.55000019,1.65625
0.01016,3.67500019,1.625
0.01018,3.80000019,1.625
0.0102,3.92500019,1.59375
0.01022,4.05000019,1.53125
0.01024,4.30000019,1.53125
0.01026,4.36250019,1.53125
0.01028,4.48750019,1.46875
0.0103,4.61250019,1.46875
0.01032,4.73750019,1.4375
0.01034,4.86250019,1.4375
0.01036,5.05000019,1.40625
0.01038,5.11250019,1.375
0.0104,5.23750019,1.3125
0.01042,5.36250019,1.34375
0.01044,5.55000019,1.28125
0.01046,5.67500019,1.25
0.01048,5.80000019,1.25
0.0105,5.92500019,1.1875
