second,input,output,,
0.2255,2.14E+00,1.34E-01,,
0.226,2.01E+00,1.34E-01,,
0.2265,1.89E+00,1.34E-01,,
0.227,1.76E+00,1.34E-01,,
0.2275,1.70E+00,1.34E-01,,
0.228,1.58E+00,1.34E-01,,
0.2285,1.58E+00,1.34E-01,,
0.229,1.51E+00,1.34E-01,,
0.2295,1.45E+00,1.34E-01,,
0.23,1.45E+00,1.34E-01,,
0.2305,1.39E+00,1.34E-01,,
0.231,1.39E+00,1.34E-01,,
0.2315,1.26E+00,1.34E-01,,
0.232,1.33E+00,1.34E-01,,
0.2325,1.26E+00,1.34E-01,,
0.233,1.26E+00,1.34E-01,,
0.2335,1.26E+00,1.34E-01,,
0.234,1.33E+00,1.34E-01,,
0.2345,1.33E+00,1.34E-01,,
0.235,1.33E+00,1.34E-01,,
0.2355,1.33E+00,1.34E-01,,
0.236,1.39E+00,1.34E-01,,
0.2365,1.51E+00,1.34E-01,,
0.237,1.51E+00,1.34E-01,,
0.2375,1.58E+00,1.34E-01,,
0.238,1.64E+00,1.34E-01,,
0.2385,1.83E+00,1.34E-01,,
0.239,1.83E+00,1.34E-01,,
0.2395,2.01E+00,1.34E-01,,
0.24,2.14E+00,1.34E-01,,
0.2405,2.20E+00,1.34E-01,,
0.241,2.39E+00,1.34E-01,,
0.2415,2.39E+00,1.34E-01,,
0.242,2.51E+00,1.34E-01,,
0.2425,2.70E+00,1.34E-01,,
0.243,2.89E+00,1.34E-01,,
0.2435,3.01E+00,1.34E-01,,
0.244,3.14E+00,1.34E-01,,
0.2445,3.33E+00,1.34E-01,,
0.245,3.45E+00,1.34E-01,,
0.2455,3.58E+00,1.34E-01,,
0.246,3.83E+00,1.34E-01,,
0.2465,3.95E+00,1.34E-01,,
0.247,4.14E+00,1.34E-01,,
0.2475,4.33E+00,1.34E-01,,
0.248,4.45E+00,1.34E-01,,
0.2485,4.64E+00,1.34E-01,,
0.249,4.89E+00,1.34E-01,,
0.2495,5.01E+00,1.34E-01,,
0.25,5.20E+00,1.34E-01,,
0.2505,5.26E+00,1.34E-01,,
0.251,5.58E+00,1.34E-01,,
0.2515,5.70E+00,1.34E-01,,
0.252,5.89E+00,1.34E-01,,
0.2525,6.01E+00,1.34E-01,,
0.253,6.26E+00,1.34E-01,,
0.2535,6.39E+00,1.34E-01,,
0.254,6.51E+00,1.34E-01,,
0.2545,6.70E+00,1.34E-01,,
0.255,6.83E+00,1.34E-01,,
0.2555,6.95E+00,1.34E-01,,
0.256,7.20E+00,1.34E-01,,
0.2565,7.26E+00,1.34E-01,,
0.257,7.39E+00,1.34E-01,,
0.2575,7.51E+00,1.34E-01,,
0.258,7.64E+00,1.34E-01,,
0.2585,7.70E+00,1.34E-01,,
0.259,7.83E+00,1.34E-01,,
0.2595,8.01E+00,1.34E-01,,
0.26,8.01E+00,1.34E-01,,
0.2605,8.20E+00,1.34E-01,,
0.261,8.26E+00,1.34E-01,,
