second,input,output
0.00952,2.33E+00,1.38E-01
0.00954,2.39E+00,1.38E-01
0.00956,2.39E+00,1.38E-01
0.00958,2.58E+00,1.38E-01
0.0096,2.64E+00,1.38E-01
0.00962,2.76E+00,1.37E-01
0.00964,2.95E+00,1.37E-01
0.00966,3.08E+00,1.37E-01
0.00968,3.14E+00,1.37E-01
0.0097,3.26E+00,1.37E-01
0.00972,3.45E+00,1.36E-01
0.00974,3.51E+00,1.37E-01
0.00976,3.64E+00,1.37E-01
0.00978,3.83E+00,1.36E-01
0.0098,3.89E+00,1.36E-01
0.00982,4.08E+00,1.36E-01
0.00984,4.20E+00,1.36E-01
0.00986,4.39E+00,1.36E-01
0.00988,4.45E+00,1.36E-01
0.0099,4.64E+00,1.35E-01
0.00992,4.76E+00,1.35E-01
0.00994,4.95E+00,1.35E-01
0.00996,5.08E+00,1.35E-01
0.00998,5.20E+00,1.34E-01
0.01,5.33E+00,1.34E-01
0.01002,5.45E+00,1.34E-01
0.01004,5.58E+00,1.33E-01
0.01006,5.76E+00,1.33E-01
0.01008,5.89E+00,1.33E-01
0.0101,6.01E+00,1.33E-01
0.01012,6.14E+00,1.33E-01
0.01014,6.26E+00,1.33E-01
0.01016,6.39E+00,1.32E-01
0.01018,6.51E+00,1.32E-01
0.0102,6.70E+00,1.32E-01
0.01022,6.76E+00,1.31E-01
0.01024,6.95E+00,1.31E-01
0.01026,7.08E+00,1.31E-01
0.01028,7.14E+00,1.31E-01
0.0103,7.26E+00,1.31E-01
0.01032,7.33E+00,1.30E-01
0.01034,7.45E+00,1.31E-01
0.01036,7.64E+00,1.30E-01
0.01038,7.64E+00,1.30E-01
0.0104,7.76E+00,1.30E-01
0.01042,7.89E+00,1.30E-01
0.01044,7.95E+00,1.30E-01
0.01046,8.08E+00,1.30E-01
0.01048,8.08E+00,1.29E-01
0.0105,8.20E+00,1.29E-01
0.01052,8.20E+00,1.29E-01
0.01054,8.33E+00,1.29E-01
0.01056,8.33E+00,1.29E-01
0.01058,8.39E+00,1.29E-01
0.0106,8.45E+00,1.29E-01
0.01062,8.51E+00,1.29E-01
0.01064,8.58E+00,1.29E-01
0.01066,8.64E+00,1.29E-01
0.01068,8.58E+00,1.28E-01
0.0107,8.70E+00,1.28E-01
0.01072,8.70E+00,1.28E-01
0.01074,8.70E+00,1.28E-01
0.01076,8.64E+00,1.29E-01
0.01078,8.70E+00,1.28E-01
0.0108,8.70E+00,1.28E-01
0.01082,8.70E+00,1.28E-01
0.01084,8.64E+00,1.28E-01
0.01086,8.58E+00,1.28E-01
0.01088,8.64E+00,1.28E-01
0.0109,8.64E+00,1.28E-01
0.01092,8.58E+00,1.28E-01
0.01094,8.51E+00,1.28E-01
0.01096,8.51E+00,1.28E-01
0.01098,8.45E+00,1.28E-01
0.011,8.39E+00,1.28E-01
0.01102,8.33E+00,1.28E-01
0.01104,8.26E+00,1.29E-01
0.01106,8.20E+00,1.29E-01
0.01108,8.14E+00,1.29E-01
0.0111,8.01E+00,1.29E-01
0.01112,8.01E+00,1.29E-01
0.01114,7.95E+00,1.29E-01
0.01116,7.89E+00,1.29E-01
0.01118,7.70E+00,1.30E-01
0.0112,7.58E+00,1.30E-01
0.01122,7.64E+00,1.30E-01
0.01124,7.45E+00,1.30E-01
0.01126,7.39E+00,1.30E-01
0.01128,7.20E+00,1.30E-01
0.0113,7.08E+00,1.30E-01
0.01132,7.01E+00,1.30E-01
0.01134,6.83E+00,1.31E-01
0.01136,6.70E+00,1.31E-01
0.01138,6.64E+00,1.31E-01
0.0114,6.45E+00,1.31E-01
0.01142,6.39E+00,1.32E-01
0.01144,6.20E+00,1.32E-01
0.01146,6.14E+00,1.32E-01
0.01148,6.01E+00,1.32E-01
0.0115,5.83E+00,1.33E-01
0.01152,5.70E+00,1.33E-01
0.01154,5.58E+00,1.33E-01
0.01156,5.39E+00,1.33E-01
0.01158,5.33E+00,1.33E-01
0.0116,5.20E+00,1.33E-01
0.01162,4.95E+00,1.34E-01
0.01164,4.89E+00,1.34E-01
0.01166,4.76E+00,1.34E-01
0.01168,4.64E+00,1.34E-01
0.0117,4.45E+00,1.34E-01
0.01172,4.26E+00,1.35E-01
0.01174,4.14E+00,1.35E-01
0.01176,3.95E+00,1.35E-01
0.01178,3.95E+00,1.35E-01
0.0118,3.76E+00,1.35E-01
0.01182,3.64E+00,1.35E-01
0.01184,3.45E+00,1.36E-01
0.01186,3.39E+00,1.36E-01
0.01188,3.26E+00,1.37E-01
0.0119,3.14E+00,1.37E-01
0.01192,3.01E+00,1.36E-01
0.01194,2.89E+00,1.37E-01
0.01196,2.70E+00,1.37E-01
0.01198,2.58E+00,1.37E-01
0.012,2.58E+00,1.38E-01
0.01202,2.33E+00,1.38E-01
0.01204,2.33E+00,1.38E-01
0.01206,2.26E+00,1.38E-01
0.01208,2.20E+00,1.38E-01
0.0121,2.14E+00,1.38E-01
0.01212,1.95E+00,1.39E-01
0.01214,1.95E+00,1.39E-01
0.01216,1.83E+00,1.39E-01
0.01218,1.70E+00,1.39E-01
0.0122,1.70E+00,1.39E-01
0.01222,1.58E+00,1.39E-01
0.01224,1.58E+00,1.39E-01
0.01226,1.58E+00,1.39E-01
0.01228,1.45E+00,1.39E-01
0.0123,1.39E+00,1.39E-01
0.01232,1.45E+00,1.40E-01
0.01234,1.33E+00,1.40E-01
0.01236,1.33E+00,1.40E-01
0.01238,1.33E+00,1.40E-01
0.0124,1.33E+00,1.40E-01
0.01242,1.26E+00,1.40E-01
0.01244,1.33E+00,1.40E-01
0.01246,1.33E+00,1.40E-01
0.01248,1.20E+00,1.40E-01
0.0125,1.26E+00,1.40E-01
0.01252,1.33E+00,1.40E-01
0.01254,1.33E+00,1.40E-01
0.01256,1.33E+00,1.40E-01
0.01258,1.39E+00,1.40E-01
0.0126,1.45E+00,1.40E-01
0.01262,1.45E+00,1.40E-01
0.01264,1.51E+00,1.40E-01
0.01266,1.58E+00,1.40E-01
0.01268,1.58E+00,1.40E-01
0.0127,1.70E+00,1.40E-01
0.01272,1.70E+00,1.40E-01
0.01274,1.76E+00,1.40E-01
0.01276,1.95E+00,1.39E-01
0.01278,1.95E+00,1.39E-01
0.0128,2.08E+00,1.39E-01
0.01282,2.14E+00,1.38E-01
0.01284,2.20E+00,1.38E-01
0.01286,2.45E+00,1.38E-01
0.01288,2.45E+00,1.38E-01
0.0129,2.45E+00,1.38E-01
0.01292,2.58E+00,1.38E-01
0.01294,2.83E+00,1.38E-01
0.01296,2.89E+00,1.38E-01
0.01298,2.95E+00,1.37E-01
0.013,3.08E+00,1.36E-01
0.01302,3.20E+00,1.36E-01
0.01304,3.33E+00,1.37E-01
0.01306,3.45E+00,1.36E-01
0.01308,3.64E+00,1.37E-01
0.0131,3.70E+00,1.37E-01
0.01312,3.83E+00,1.36E-01
0.01314,4.01E+00,1.35E-01
0.01316,4.08E+00,1.35E-01
0.01318,4.26E+00,1.35E-01
0.0132,4.39E+00,1.35E-01
0.01322,4.58E+00,1.35E-01
0.01324,4.64E+00,1.35E-01
0.01326,4.83E+00,1.35E-01
0.01328,4.89E+00,1.34E-01
0.0133,5.14E+00,1.34E-01
0.01332,5.14E+00,1.34E-01
0.01334,5.33E+00,1.34E-01
0.01336,5.58E+00,1.34E-01
0.01338,5.70E+00,1.34E-01
0.0134,5.76E+00,1.33E-01
0.01342,5.89E+00,1.33E-01
0.01344,6.01E+00,1.33E-01
0.01346,6.20E+00,1.32E-01
0.01348,6.33E+00,1.32E-01
0.0135,6.45E+00,1.32E-01
0.01352,6.51E+00,1.32E-01
0.01354,6.70E+00,1.31E-01
0.01356,6.76E+00,1.31E-01
0.01358,6.89E+00,1.31E-01
0.0136,7.01E+00,1.31E-01
0.01362,7.20E+00,1.31E-01
0.01364,7.33E+00,1.31E-01
0.01366,7.33E+00,1.31E-01
0.01368,7.51E+00,1.31E-01
0.0137,7.64E+00,1.31E-01
0.01372,7.70E+00,1.30E-01
0.01374,7.83E+00,1.30E-01
0.01376,7.89E+00,1.30E-01
0.01378,7.95E+00,1.30E-01
0.0138,8.08E+00,1.29E-01
0.01382,8.08E+00,1.29E-01
0.01384,8.20E+00,1.29E-01
0.01386,8.26E+00,1.29E-01
0.01388,8.33E+00,1.29E-01
0.0139,8.39E+00,1.29E-01
0.01392,8.39E+00,1.29E-01
0.01394,8.39E+00,1.28E-01
0.01396,8.51E+00,1.29E-01
0.01398,8.64E+00,1.29E-01
0.014,8.58E+00,1.29E-01
0.01402,8.64E+00,1.29E-01
0.01404,8.70E+00,1.28E-01
0.01406,8.70E+00,1.28E-01
0.01408,8.64E+00,1.29E-01
0.0141,8.64E+00,1.28E-01
0.01412,8.70E+00,1.28E-01
0.01414,8.70E+00,1.28E-01
0.01416,8.64E+00,1.29E-01
0.01418,8.70E+00,1.29E-01
0.0142,8.64E+00,1.28E-01
0.01422,8.64E+00,1.28E-01
0.01424,8.58E+00,1.28E-01
0.01426,8.58E+00,1.28E-01
0.01428,8.58E+00,1.28E-01
0.0143,8.51E+00,1.29E-01
0.01432,8.39E+00,1.29E-01
0.01434,8.39E+00,1.29E-01
0.01436,8.33E+00,1.29E-01
0.01438,8.26E+00,1.29E-01
0.0144,8.26E+00,1.29E-01
0.01442,8.14E+00,1.29E-01
0.01444,8.08E+00,1.29E-01
0.01446,7.89E+00,1.29E-01
0.01448,7.89E+00,1.29E-01
0.0145,7.76E+00,1.29E-01
0.01452,7.76E+00,1.30E-01
0.01454,7.64E+00,1.30E-01
0.01456,7.51E+00,1.30E-01
0.01458,7.39E+00,1.30E-01
0.0146,7.33E+00,1.30E-01
0.01462,7.14E+00,1.30E-01
0.01464,7.08E+00,1.30E-01
0.01466,6.95E+00,1.30E-01
0.01468,6.83E+00,1.31E-01
