in s,C1 in V
-2.47712E-04,-1.51348E-01
-2.47708E-04,-1.52988E-01
-2.47704E-04,-1.54629E-01
-2.47700E-04,-1.57910E-01
-2.47696E-04,-1.58730E-01
-2.47692E-04,-1.59551E-01
-2.47688E-04,-1.59551E-01
-2.47684E-04,-1.62012E-01
-2.47680E-04,-1.64473E-01
-2.47676E-04,-1.65293E-01
-2.47672E-04,-1.66934E-01
-2.47668E-04,-1.68574E-01
-2.47664E-04,-1.71035E-01
-2.47660E-04,-1.69395E-01
-2.47656E-04,-1.73496E-01
-2.47652E-04,-1.74316E-01
-2.47648E-04,-1.74316E-01
-2.47644E-04,-1.76777E-01
-2.47640E-04,-1.78418E-01
-2.47636E-04,-1.80059E-01
-2.47632E-04,-1.80879E-01
-2.47628E-04,-1.80059E-01
-2.47624E-04,-1.83340E-01
-2.47620E-04,-1.85801E-01
-2.47616E-04,-1.87441E-01
-2.47612E-04,-1.88262E-01
-2.47608E-04,-1.89902E-01
-2.47604E-04,-1.92363E-01
-2.47600E-04,-1.92363E-01
-2.47596E-04,-1.94004E-01
-2.47592E-04,-1.96465E-01
-2.47588E-04,-1.94004E-01
-2.47584E-04,-1.98105E-01
-2.47580E-04,-1.98105E-01
-2.47576E-04,-2.01387E-01
-2.47572E-04,-2.02207E-01
-2.47568E-04,-2.01387E-01
-2.47564E-04,-2.06309E-01
-2.47560E-04,-2.04668E-01
-2.47556E-04,-2.07949E-01
-2.47552E-04,-2.06309E-01
-2.47548E-04,-2.10410E-01
-2.47544E-04,-2.09590E-01
-2.47540E-04,-2.11230E-01
-2.47536E-04,-2.13691E-01
-2.47532E-04,-2.13691E-01
-2.47528E-04,-2.14512E-01
-2.47524E-04,-2.16973E-01
-2.47520E-04,-2.21074E-01
-2.47516E-04,-2.20254E-01
-2.47512E-04,-2.21895E-01
-2.47508E-04,-2.25176E-01
-2.47504E-04,-2.25176E-01
-2.47500E-04,-2.22715E-01
-2.47496E-04,-2.25996E-01
-2.47492E-04,-2.28457E-01
-2.47488E-04,-2.26816E-01
-2.47484E-04,-2.33379E-01
-2.47480E-04,-2.33379E-01
-2.47476E-04,-2.30918E-01
-2.47472E-04,-2.34199E-01
-2.47468E-04,-2.35020E-01
-2.47464E-04,-2.36660E-01
-2.47460E-04,-2.37480E-01
-2.47456E-04,-2.39941E-01
-2.47452E-04,-2.40762E-01
-2.47448E-04,-2.39941E-01
-2.47444E-04,-2.44043E-01
-2.47440E-04,-2.44863E-01
-2.47436E-04,-2.44043E-01
-2.47432E-04,-2.44863E-01
-2.47428E-04,-2.45684E-01
-2.47424E-04,-2.47324E-01
-2.47420E-04,-2.48145E-01
-2.47416E-04,-2.47324E-01
-2.47412E-04,-2.50605E-01
-2.47408E-04,-2.52246E-01
